,variable,label,type
6314,p3m11,"M11. Child doesn't know how to have fun, or he/she acts like a little adult",Ordered Categorical
6315,p3m12,M12. 18 Cities - Child is open and direct about what he/she wants,Ordered Categorical
6317,p3m13,M13. Child doesn't seem to feel guilty after misbehaving,Ordered Categorical
6318,p3m14,M14. Child is easily frustrated,Ordered Categorical
6319,p3m15,M15. 18 Cities - Child will join a group of children playing,Ordered Categorical
6321,p3m16,M16. Child's feelings are easily hurt,Ordered Categorical
6322,p3m17,M17. Child is easily jealous,Ordered Categorical
6323,p3m17a,"M17a. 18 Cities - Child gets hurt a lot, is accident-prone",Ordered Categorical
6324,p3m18,M18. Child gets in many fights,Ordered Categorical
6325,p3m18a,M18a. 18 Cities - Child gets into everything,Ordered Categorical
6326,p3m18b,M18b. 18 Cities - Child has trouble getting to sleep,Ordered Categorical
6327,p3m19,M19. Child gets too upset when separated from parents,Ordered Categorical
6328,p3m20,M20. 18 Cities - Child plays games and talks with other children,Ordered Categorical
6330,p3m21,M21. Child hits others,Ordered Categorical
6331,p3m21a,M21A. 18 Cities - Child hurts animals or people without meaning to,Ordered Categorical
6332,p3m22,M22. Child looks unhappy without good reason,Ordered Categorical
6333,p3m23,M23. Child has angry moods,Ordered Categorical
6334,p3m24,M24. 18 Cities - Child is confident with other people,Ordered Categorical
6336,p3m25,"M25. 18 Cities - Child is nervous, high strung, or tense",Ordered Categorical
6338,p3m26,M26. Child is overtired,Ordered Categorical
6339,p3m26a,M26A. 18 Cities - Child physically attacks people,Ordered Categorical
6340,p3m27,M27. 18 Cities - Child tends to be proud of things he/she does,Ordered Categorical
6342,p3m28,M28. Punishment doesn't change his/her behavior,Ordered Categorical
6343,p3m28a,M28a. 18 Cities - Child quickly shifts from one activity to another,Ordered Categorical
6344,p3m29,M29. Child refuses to play active games,Ordered Categorical
6345,p3m30,M30. Child screams a lot,Ordered Categorical
6346,p3m31,M31. Child seems unresponsive to affection,Ordered Categorical
6347,p3m32,M32. Child is self-conscious or easily embarrassed,Ordered Categorical
6348,p3m33,M33. Child is selfish or won't share,Ordered Categorical
6349,p3m34,M34. 18 Cities - Child is interested in many and different things,Ordered Categorical
6351,p3m35,M35. Child shows little affection toward people,Ordered Categorical
6352,p3m36,M36. Child shows little interest in things around him/her,Ordered Categorical
6353,p3m37,M37. Child is too shy or timid,Ordered Categorical
6354,p3m38,M38. 18 Cities - Child has a speech problem,Ordered Categorical
6356,p3m39,"M39. Child is stubborn, sullen, or irritable",Ordered Categorical
6357,p3m40,M40. Child has sudden changes in mood or feelings,Ordered Categorical
6358,p3m40a,M40a. 18 Cities - Child sulks a lot,Ordered Categorical
6359,p3m41,M41. Child has temper tantrums or hot temper,Ordered Categorical
6360,p3m42,M42. Child is too fearful or anxious,Ordered Categorical
6361,p3m43,M43. 18 Cities - Child enjoys talking with you,Ordered Categorical
6363,p3m44,M44. Child is uncooperative,Ordered Categorical
6364,p3m45,"M45. Child is under active, slow moving, or lacks energy",Ordered Categorical
6365,p3m46,"M46. Child is unhappy, sad, depressed",Ordered Categorical
6366,p3m47,M47. Child is unusually loud,Ordered Categorical
6367,p3m48,M48. Child wants a lot of attention,Ordered Categorical
6368,p3m49,M49. Child is whiny,Ordered Categorical
6369,p3m50,"M50. Child is withdrawn, he/she doesn't get involved with others",Ordered Categorical
6370,o3p1,"P1. Garbage, litter, or broken glass in street, sidewalk, or in yards",Ordered Categorical
6371,o3p2,P2. General condition of most of the buildings on the block,Ordered Categorical
6372,o3p3,P3. Graffiti on buildings/walls of buildings on block,Ordered Categorical
6373,o3p4,"P4. Vacant, abandoned, or boarded-up buildings on block",Ordered Categorical
6374,o3p5,P5. Abandoned vehicles on block,Ordered Categorical
6375,o3p6_a,P6_a. Exterior - Unlit entrance or stairway,Unordered Categorical
6376,o3p6_b,P6_b. Exterior - Broken steps,Unordered Categorical
6377,o3p6_c,P6_c. Exterior - Broken glass or broken toys,Unordered Categorical
6378,o3p6_d,P6_d. Exterior - Large ditches,Unordered Categorical
6379,o3p6_e,P6_e. Exterior - Alcohol or drug paraphernalia,Unordered Categorical
6380,o3p6_f,P6_f. Exterior - Strewn garbage/litter,Unordered Categorical
6381,o3p7_a,"P7_a. Exterior - Peeling paint, needs paint job",Unordered Categorical
6382,o3p7_b,P7_b. Exterior - Crumbling or damaged walls,Unordered Categorical
6383,o3p7_c,P7_c. Exterior - Broken or cracked windows,Unordered Categorical
6384,o3p8,P8. How would you best describe the home or building?,Unordered Categorical
6385,o3p9,P9. How would you rate the condition of the street?,Ordered Categorical
6386,o3p10c,"P10. INTERVIEWER: CHECK P8. IS CODE 02, 03, 04, 05, OR 06 CIRCLED IN P8?",Unordered Categorical
6391,o3r1,R1. Are there any broken windows or cracked windowpanes?,Unordered Categorical
6392,o3r2,R2. Is the wiring in the house concealed?,Unordered Categorical
6393,o3r3,R3. Does the housing unit contain open cracks or holes in walls or ceiling?,Unordered Categorical
6394,o3r4,R4. Does the housing unit contain holes in floor?,Unordered Categorical
6395,o3r5,R5. Does the housing unit contain broken plaster or peeling paint?,Unordered Categorical
6396,o3r6,R6. Is inside of home dark?,Unordered Categorical
6397,o3r7,R7. Is inside of home crowded?,Unordered Categorical
6398,o3r8,R8. Are all visible rooms of house/apt noticeably cluttered?,Unordered Categorical
6399,o3r9,R9. Are all visible rooms of the house/apt dirty or not reasonably cleaned?,Unordered Categorical
6400,o3r10,R10. Is environment inside home unsafe for young children?,Unordered Categorical
6401,o3r10a_1,R10a_1. Frayed electrical wires,Unordered Categorical
6402,o3r10a_2,R10a_2. Mice or rats,Unordered Categorical
6403,o3r10a_3,R10a_3. Broken glass,Unordered Categorical
6404,o3r10a_4,R10a_4. Poisonous substances within reach of children,Unordered Categorical
6405,o3r10a_5,R10a_5. Falling plaster,Unordered Categorical
6406,o3r10a_6,R10a_6. Broken stairs,Unordered Categorical
6407,o3r10a_7,R10a_7. Peeling paint,Unordered Categorical
6408,o3r10a_8,R10a_8. Cleaning materials left out,Unordered Categorical
6409,o3r10a_9,R10a_9. Flames and heat within reach of young children,Unordered Categorical
6411,o3r10a_11,R10a_11. Other (Specify),Unordered Categorical
6413,o3r11,R11. Child's artwork or photographs of child on display in home,Unordered Categorical
6414,o3r12,R12. House or apartment overly noisy from noise in the house,Unordered Categorical
6415,o3r13,R13. House or apartment overly noisy from noise outside the house,Unordered Categorical
6417,o3s1_1,S1_1. Clothing is dirty-unkempt,Unordered Categorical
6418,o3s1_2,S1_2. Clothing Dirty due to playing/eating,Unordered Categorical
6419,o3s1_3,S1_3. Child is in soiled diaper,Unordered Categorical
6420,o3s1_4,S1_4. Child may be in soiled diaper,Unordered Categorical
6421,o3s1_5,"S1_5. Clothing is worn, but mended or not ripped or torn",Unordered Categorical
6422,o3s1_6,"S1_6. Clothing is worn, but not mended, obvious rips or tears",Unordered Categorical
6423,o3s1_7,S1_7. Clothing is too tight for comfortable fit,Unordered Categorical
6424,o3s1_8,S1_8. Clothing is too large,Unordered Categorical
6425,o3s1_9,S1_9. Clothing is too light weight for indoor temperature,Unordered Categorical
6426,o3s1_10,S1_10. Clothing is too warm for indoor temperature,Unordered Categorical
6427,o3s1_11,S1_11. Other negative conditions not covered (Specify),Unordered Categorical
6428,o3s1_12,S1_12. None of the above conditions apply to child's clothing,Unordered Categorical
6430,o3s2,S2. Overall hygiene of child - washed/bathed?,Ordered Categorical
6431,o3s3,S3. Overall hygiene of child - Hair?,Ordered Categorical
6432,o3s4,S4. Overall hygiene of child - Odor?,Ordered Categorical
6433,o3s5,S5. Anything else problematic about child's clothing or hygiene,Unordered Categorical
6435,o3t1,T1. Parent spontaneously vocalized to child twice,Unordered Categorical
6436,o3t2,T2. Parent responded verbally to child's vocalizations,Unordered Categorical
6437,o3t3,T3. Parent told child the name of an object or person,Unordered Categorical
6438,o3t4,T4. Parent's speech was distinct and audible,Unordered Categorical
6439,o3t5,T5. Parent initiated verbal exchanges with visitor,Unordered Categorical
6440,o3t6,T6. Parent conversed freely and easily,Unordered Categorical
6441,o3t7,T7. Parent spontaneously praised child at least twice,Unordered Categorical
6442,o3t8,T8. Parent's voice conveyed positive feelings toward child,Unordered Categorical
6443,o3t9,T9. Parent caressed or kissed child at least once,Unordered Categorical
6444,o3t10,T10. Parent did not shout at child,Unordered Categorical
6445,o3t11,T11. Parent did not express annoyance with or hostility toward child,Unordered Categorical
6446,o3t12,T12. Parent neither slapped nor spanked child,Unordered Categorical
6447,o3t13,T13. Parent did not scold or criticize child,Unordered Categorical
6448,o3t14,T14. Parent did not interfere or restrict child more than 3 times,Unordered Categorical
6449,o3t15,T15. Parent provided toys for child,Unordered Categorical
6450,o3t16,T16. Parent kept child in visual range when not cared for by someone else,Unordered Categorical
6451,o3u1,U1. Did the child display positive emotions?,Unordered Categorical
6452,o3u2,U2. Did the child display negative emotions?,Unordered Categorical
6455,o3u5,U5. How persistent was the child when completing the PPVT?,Ordered Categorical
6456,o3u6,U6. How cooperative was the child when completing the PPVT?,Ordered Categorical
6457,o3u7,U7. How cooperative was the child while being weighed and measured?,Ordered Categorical
6458,o3v1,V1. Interview was conducted in English or Spanish?,Unordered Categorical
6459,o3v2,V2. Respondent's attention to interviewer,Ordered Categorical
6460,o3v3,V3. Respondent's understanding of the question,Ordered Categorical
6461,o3v4,V4. Respondent's ability to articulate answers,Ordered Categorical
6462,o3v5,V5. Respondent's cooperation throughout most of the interview,Ordered Categorical
6463,o3v6a,V6a. Did respondent appear suspicious?,Ordered Categorical
6464,o3v6b,V6b. Did respondent appear uncommunicative?,Ordered Categorical
6465,o3v6c,V6c. Did respondent appear anxious/nervous?,Ordered Categorical
6466,o3v6d,V6d. Did respondent appear hostile?,Ordered Categorical
6467,o3v6e,V6e. Did respondent appear to be on drugs?,Ordered Categorical
6468,o3v7,V7. Was anyone else present during the interview?,Unordered Categorical
6469,o3v8_1,V8_1. Father present during interview,Unordered Categorical
6470,o3v8_2,V8_2. Other family members present during interview,Unordered Categorical
6471,o3v8_3,V8_3. Friends present during interview,Unordered Categorical
6472,ch3act,Constructed - Child/PCG participated in any assessment/activity component,Unordered Categorical
6474,ch3mesyr,Constructed - Year of in-home assessment/activity component,Continuous
6475,ch3bmip,Constructed - PCG Body Mass Index,Continuous
6476,ch3bmiz,Constructed - PCG Body Mass Index standardized (z-score),Continuous
6477,ch3cbmi,Constructed - Child Body Mass Index - derived,Continuous
6478,ch3cflag,Constructed - Child anthropometric measurement problems flag,Unordered Categorical
6479,ch3chtcm,Constructed - Child height (centimeters),Continuous
6480,ch3cwtalone,Constructed - Child weighed alone,Unordered Categorical
6481,ch3cwtkg,Constructed - Child weight (kilograms),Continuous
6482,ch3cwtlb,Constructed - Child weight (pounds),Continuous
6483,ch3hap,Constructed - Child height for age percentile,Continuous
6484,ch3haz,Constructed - Child height for age standardized (z-score),Continuous
6485,ch3mflag,Constructed - PCG anthropometric measurement problems flag,Unordered Categorical
6486,ch3mhtcm,Constructed - PCG height (centimeters),Continuous
6487,ch3mombmi,Constructed - PCG Body Mass Index,Continuous
6488,ch3mompreg,Constructed - PCG pregnant at assessment/activity component,Unordered Categorical
6489,ch3ovscale,Constructed - PCG weight over 308 lbs scale limit,Unordered Categorical
6490,ch3mmis_wt,Constructed - PCG missing weight,Unordered Categorical
6491,ch3mmis_ht,Constructed - PCG missing height,Unordered Categorical
6492,ch3mwtkg,Constructed - PCG weight (kilograms),Continuous
6493,ch3mwtlb,Constructed - PCG weight (pounds),Continuous
6494,ch3selfht,Constructed - PCG reported height (not measured),Unordered Categorical
6495,ch3selfwt,Constructed - PCG reported weight (not measured),Unordered Categorical
6496,ch3wap,Constructed - PCG weight for age percentile,Continuous
6497,ch3waz,Constructed - PCG weight for age standardized (z-score),Continuous
6498,ch3whp,Constructed - PCG weight for height percentile,Continuous
6499,ch3whz,Constructed - PCG weight for height standardized (z-score),Continuous
6500,ch3agemo1_c,Constructed - Child age (months) at measurement calculated by EpiInfo,Continuous
6501,ch3agemo2_c,Constructed - Child age (months) at measurement calculated by SPSS,Continuous
6510,ch3misppvt,Constructed - No PPVT administration to child,Unordered Categorical
6511,ch3ppvtstd,Constructed - Child PPVT - Standardized score,Continuous
6512,ch3ppvtraw,Constructed - Child PPVT - Raw score,Continuous
6513,ch3ppvtage,Constructed - Child PPVT - Age at administration (months),Continuous
6514,ch3pvbasal,Constructed - Child PPVT - Basal value,Ordered Categorical
6516,ch3pvceil,Constructed - Child PPVT - Ceiling value,Ordered Categorical
6517,ch3pvtwceil,Constructed - Child PPVT - Two ceiling values were reached,Unordered Categorical
6518,ch3pvnceil,Constructed - Child PPVT - No ceiling values were reached,Unordered Categorical
6519,ch3pvceilr,Constructed - Child PPVT - Last last block administered,Ordered Categorical
6520,ch3pvpercom,Constructed - Child PPVT - Percent of items for total score missing,Continuous
6531,ch3ppvtstd_m,Constructed - PCG PPVT - Standardized score,Continuous
6532,ch3ppvtraw_m,Constructed - PCG PPVT - Raw score,Continuous
6533,ch3ppvtage_m,Constructed - PCG age at PPVT/TVIP administration (months),Continuous
6534,ch3pvbasal_m,Constructed - PCG PPVT - Basal value,Ordered Categorical
6535,ch3pvnbasal_m,Constructed - PCG PPVT - Basal value not reached,Unordered Categorical
6536,ch3pvceil_m,Constructed - PCG PPVT - Ceiling value,Continuous
6537,ch3pvtwceil_m,Constructed - PCG PPVT - Two ceiling values were reached,Unordered Categorical
6538,ch3pvnceil_m,Constructed - PCG PPVT - No ceiling values were reached,Unordered Categorical
6539,ch3pvceilr_m,Constructed - PCG PPVT - Last last block administered,Continuous
6540,ch3pvpercom_m,Constructed - PCG PPVT - Percent of items for total score missing,Continuous
6543,ch3att_s,comfortably cuddly,Continuous
6544,ch3att_t,cooperative,Continuous
6545,ch3att_u,enjoys company,Continuous
6546,ch3att_v,independent,Continuous
6547,ch3att_w,attention-seeking,Continuous
6548,ch3att_x,upset by separation,Continuous
6550,ch3att_z,demanding,Continuous
6551,ch3att_codeabc,attachment categories,Unordered Categorical
6552,ch3att_secure2,secure/insecure dummy,Unordered Categorical
6553,ch3att_b1,security,Continuous
6554,ch3att_b2,dependency,Continuous
6555,ch3att_b3,sociability,Continuous
6556,ch3att_ad,distance to a - avoidant,Continuous
6557,ch3att_bd,distance to b - secure,Continuous
6558,ch3att_cd,distance to c - resistant,Continuous
6563,cf4mint,Constructed - Mother interviewed at five-year follow-up,Unordered Categorical
6564,cf4new60,Constructed - Father first interviewed at five-year follow-up,Unordered Categorical
6565,cf4samp,Constructed - Father non-response (reason),Unordered Categorical
6570,cf4citsm,Constructed - Five-year city sample flag,Unordered Categorical
6571,f4citywt,Father five-year city sample weight (20-cities population),Continuous
6572,f4a2,How much of the time does child spend with you?,Ordered Categorical
6577,f4a3a2,Who does child usually live with?,Unordered Categorical
6588,f4a3e,How many days did you see child in past month?,Continuous
6592,f4a4,What is your relationship with mother now?,Ordered Categorical
6594,f4a4a1,Are you and mother currently living together?,Ordered Categorical
6595,f4a4a2,INT CHK: ARE FATHER AND MOTHER MARRIED AND LIVING TOGETHER ALL/MOST OF TIME?,Unordered Categorical
6601,f4a5,INT CHK: WERE FATHER AND MOTHER UNMARRIED AT LAST INTERVIEW BUT MARRIED NOW?,Unordered Categorical
6604,f4a6,INT CHK: WERE FATHER AND MOTHER LIVING APART AT LAST INTERVIEW BUT LIVING TOGETH,Unordered Categorical
6607,f4a7,INT CHK: WERE FATHER AND MOTHER ROMANTICALLY INVOLVED AT LAST INTERVIEW BUT NOT,Unordered Categorical
6610,f4a8,Were father and mother involved at three-year but not in relationship now?,Unordered Categorical
6621,f4a8c,INT CHK: DO FATHER AND MOTHER LIVE TOGETHER ALL/MOST OF TIME OR 7 NIGHTS/WEEK,Unordered Categorical
6622,f4a9,How often do you and mother see/talk to each other?,Ordered Categorical
6623,f4a10,How many children do you have altogether (inc child)?,Continuous
6624,f4a10b1,Is mother also mother of this child?,Unordered Categorical
6625,f4a10b2,Is mother also mother of this child?,Unordered Categorical
6630,f4a10e1,What was your relation with mother of this child at time of birth?,Ordered Categorical
6633,f4a10f1,Does mother of child1 provide any financial support?,Unordered Categorical
6642,f4a11,INT CHK: WERE FATHER AND CHILD'S MOTHER EVER MARRIED?,Unordered Categorical
6643,f4a11a,Were you ever married to someone other than mother?,Unordered Categorical
6644,f4a11b,Were you ever married?,Unordered Categorical
6661,f4a12e,INT CHK: ARE FATHER AND MOTHER MARRIED AND/OR LIVING TOGETHER MOST OF TIME?,Unordered Categorical
6662,f4a13,"During last 2 yrs, how many romantic relation have had last 1 mo+?",Continuous
6667,cf4age,Constructed - Father's age (years),Continuous
6668,cf4b_age,Constructed - Child age at time of father interview (months),Continuous
6669,cf4marm,Constructed - Is father married to child's mother at year five?,Unordered Categorical
6670,cf4cohm,Constructed - Father living with child's mother at five-year,Unordered Categorical
6671,f4b0,INT CHK: DOES CHILD LIVE WITH FATHER AT LEAST HALF OF TIME?,Unordered Categorical
6672,f4b1,What kind of father do you think you are?,Ordered Categorical
6673,f4b2,"In general, how is child's health?",Ordered Categorical
6674,f4b2a,Has a doctor/health professional ever told you child has asthma?,Unordered Categorical
6677,f4b3,"Last 2 yrs, times you and child separated for 1 wk+?",Continuous
6699,f4b4a1,Days/week: sing songs/nursery rhymes with child?,Ordered Categorical
6700,f4b4a2,Days/week: read stories to child?,Ordered Categorical
6701,f4b4a3,Days/week: you tell stories to child?,Ordered Categorical
6702,f4b4a4,Days/week: play inside with toys with child?,Ordered Categorical
6703,f4b4a5,Days/week: tell child you appreciated something he/she did?,Ordered Categorical
6704,f4b4a6,Days/week: play outside in yard/park/playground with child?,Ordered Categorical
6705,f4b4a7,Days/week: take child on outing or special activity/event?,Ordered Categorical
6706,f4b4a8,Days/week: you watch TV or video together?,Ordered Categorical
6707,f4b4b1,"True/not true: child can't concentrate, can't pay attention for long?",Ordered Categorical
6708,f4b4b2,True/not true: child can't sit still child is restless and hyperactive?,Ordered Categorical
6709,f4b4b3,True/not true: child clings to adults or is too dependent?,Ordered Categorical
6710,f4b4b4,True/not true: child cries a lot?,Ordered Categorical
6711,f4b4b5,True/not true: child is disobedient?,Ordered Categorical
6712,f4b4b6,True/not true: child doesn't get along with other children?,Ordered Categorical
6713,f4b4b7,True/not true: child doesn't seem to feel guilty after misbehaving?,Ordered Categorical
6714,f4b4b8,True/not true: child has trouble getting to sleep?,Ordered Categorical
6715,f4b4b9,"True/not true: child is nervous, high strung, or tense?",Ordered Categorical
6716,f4b4b10,True/not true: child has a speech problem?,Ordered Categorical
6717,f4b4b11,"True/not true: child is stubborn, sullen or irritable?",Ordered Categorical
6718,f4b4b12,True/not true: child has sudden changes in mood or feelings?,Ordered Categorical
6719,f4b4b13,True/not true: child has temper tantrums or a hot temper?,Ordered Categorical
6720,f4b4b14,True/not true: child is too fearful or anxious?,Ordered Categorical
6721,f4b4b15,"True/not true: child is unhappy, sad, depressed?",Ordered Categorical
6722,f4b4b16,True/not true: child wants a lot of attention?,Ordered Categorical
6723,f4b4b17,True/not true: child is withdrawn child doesn't get involved with others?,Ordered Categorical
6724,f4b4b18,True/not true: child feels worthless or inferior?,Ordered Categorical
6725,f4b4b19,True/not true: child acts too young for his/her age?,Ordered Categorical
6726,f4b5,"In past month, have you spanked child because misbehaving?",Unordered Categorical
6728,f4b6a,Agree/disagree: being a parent is harder than I expected,Ordered Categorical
6729,f4b6b,Agree/disagree: I feel trapped by my responsibilities as a parent,Ordered Categorical
6730,f4b6c,Agree/disagree: I find taking care of my children more work than pleasure,Ordered Categorical
6731,f4b6d,Agree/disagree: I often feel tired/worn out/exhausted from raising a family,Ordered Categorical
6732,f4b7,Are public schools in your area on summer break?,Unordered Categorical
6733,f4b7a,Is child currently in Kindergarten?,Unordered Categorical
6734,f4b8,"Is child current attend daycare, nursery, preschool, Head Start, pre-K?",Unordered Categorical
6735,f4b8a,What type of program does child attend monthst?,Unordered Categorical
6736,f4b8b,"Typical wk, how many hrs/wk does child attend primary program?",Continuous
6737,f4b8c,Where is program located?,Unordered Categorical
6738,f4b8d,"Does person/agency give money/voucher/scholarship to help pay for program,?",Unordered Categorical
6739,f4b8e,"On average, how much do you pay out-of-pocket weekly for all care/school/program",Ordered Categorical
6741,f4b8g,Is child currently enrolled in this program?,Unordered Categorical
6742,f4b8h,INT CHK: IS CHILD IN SCHOOL/PROGRAM FOR 8 OR MORE HOURS PER WEEK?,Unordered Categorical
6759,f4b22,"Last 2 yrs, have you talked to doctor about how child's doing?",Unordered Categorical
6764,f4b25,INT CHK: DID FATHER SEE CHILD MORE THAN ONCE IN LAST 30 DAYS?,Unordered Categorical
6802,f4c1,INT CHK: ARE MOTHER AND FATHER CURRENTLY LIVING TOGETHER ALL/MOST/SOME OF TIME,Unordered Categorical
6803,f4c1a,INT CHK: IS MOTHER DECEASED?,Unordered Categorical
6804,f4c1b,INT CHK: DOES MOTHER HAVE PRIMARY CUSTODY OF CHILD?,Unordered Categorical
6814,f4c3a,Days/week: mother sings songs/nursery rhymes with child?,Ordered Categorical
6815,f4c3b,Days/week: mother reads stories with child?,Ordered Categorical
6816,f4c3c,Days/week: mother tells stories to child?,Ordered Categorical
6817,f4c3d,Days/week: mother plays inside with toys with child?,Ordered Categorical
6818,f4c3e,Days/week: mother tells child she appreciated something child did?,Ordered Categorical
6819,f4c3f,Days/week: mother plays outside in yard/park/playground with child?,Ordered Categorical
6820,f4c3g,Days/week: mother takes child on outing/activity/event?,Ordered Categorical
6821,f4c3h,Days/week: mother watches TV/video together with child?,Ordered Categorical
6822,f4c4,"In past month, has mother spanked child because misbehaving?",Unordered Categorical
6824,f4c5,"In past month, how often has mother spent 1+ hrs/day with child?",Ordered Categorical
6825,f4c5a,INT CHK: DOES MOTHER SEE CHILD FREQUENTLY?,Unordered Categorical
6827,f4c6,Have you ever asked mother to spend more time with child?,Unordered Categorical
6828,f4c6a,Have you ever refused to let mother see child?,Unordered Categorical
6832,f4c7a,How often does mother look after child when you need to do things?,Ordered Categorical
6833,f4c7b,How often does mother run errands for you?,Ordered Categorical
6834,f4c7c,How often does mother fix things around home/paint/make look nicer?,Ordered Categorical
6835,f4c7d,How often does mother take child places he/she needs to go?,Ordered Categorical
6836,f4c7e,INT CHK: DID CHILD LIVE WITH MOTHER AT BIRTH AND CURRENTLY LIVES WITH MOTHER?,Unordered Categorical
6837,f4c7f,Was mother ever separated from child for any period of 2 weeks+?,Unordered Categorical
6841,f4c8,INT CHK: WERE FATHER AND MOTHER MARRIED AT LAST INTERVIEW,Unordered Categorical
6842,f4c9,INT CHK: WAS PATERNITY ESTABLISHED AT LAST INTERVIEW?,Unordered Categorical
6843,f4c10a,Has your legal paternity been established?,Unordered Categorical
6846,f4c11,INT CHK: ARE FATHER AND MOTHER MARRIED AND LIVING TOGETHER?,Unordered Categorical
6847,f4c12,INT CHK: DID FATHER AND MOTHER HAVE A LEGAL AGREEMENT/SUPPORT ORDER AT LAST INTE,Unordered Categorical
6849,f4c12b,INT CHK: WAS LEGAL PATERNITY ESTABLISHED?,Unordered Categorical
6892,f4c24,INT CHK: DOES FATHER HAVE A FORMAL OR INFORMAL AGREEMENT WITH MOTHER?,Unordered Categorical
6896,f4c25c,INT CHK: DO FATHER AND MOTHER LIVE TOGETHER ALL OR MOST OF THE TIME?,Unordered Categorical
6902,f4c27,INT CHK: DOES FATHER HAVE ANY CHILDREN BY SOMEONE OTHER THAN MOTHER?,Unordered Categorical
6906,f4c30,Has mother had any children with another man in last 2 yrs?,Unordered Categorical
6910,f4c33,INT CHK: IS FATHER LIVING WITH MOTHER ALL/MOST/SOME OF THE TIME?,Unordered Categorical
6911,f4c34,Is mother living with/married to another man?,Unordered Categorical
6912,f4c35b,Approx how many miles from your home does mother live?,Ordered Categorical
6913,f4c36,What was mother doing monthst of last week?,Unordered Categorical
6914,f4c37,Has mother spent any time in jail in last 2 yrs?,Unordered Categorical
6930,f4c38,Does mother have any phys/mental health conditions limits work can do?,Unordered Categorical
6931,f4c39,Does mother have problems keeping job/getting along with friends because alc/dru,Unordered Categorical
6932,f4c40a,Agree/disagree: mother often says/does things without considering consequences,Ordered Categorical
6933,f4c40b,Agree/disagree: mother  often gets into trouble because doesn't think before act,Ordered Categorical
6934,f4c41a,True/not true: mother does things that may cause trouble with the law,Ordered Categorical
6935,f4c41b,True/not true: mother lies or cheats,Ordered Categorical
6936,f4c41c,True/not true: mother frequently gets into fights,Ordered Categorical
6937,f4c41d,True/not true: mother doesn't seem to feel guilty when misbehaves,Ordered Categorical
6940,f4c43a,"Since child's birth, has there been time when mother  felt sad/depressed?",Unordered Categorical
6941,f4c43b,Has mother  felt sad/depressed/lost interest in last yr?,Unordered Categorical
6942,f4c44a,"Since child's birth, has mother had period 1 mo+ when worried/tense/anxious?",Unordered Categorical
6945,f4d1,INT CHK: DOES MOTHER HAVE ANY CONTACT WITH CHILD?,Unordered Categorical
6946,f4d1a,Always/sometimes/rarely true: acts like mother you want for your child,Ordered Categorical
6947,f4d1b,Always/sometimes/rarely true: can trust her to take care of child,Ordered Categorical
6948,f4d1c,Always/sometimes/rarely true: respects rules you make for child?,Ordered Categorical
6949,f4d1d,Always/sometimes/rarely true: supports way you want to raise child?,Ordered Categorical
6950,f4d1e,Always/sometimes/rarely true: talk about problems raising child?,Ordered Categorical
6951,f4d1f,Always/sometimes/rarely true: count on to look after child for few hours?,Ordered Categorical
6952,f4d1g,Always/sometimes/rarely true: respect wishes about how child should be raised?,Ordered Categorical
6953,f4d1h,Always/sometimes/rarely true: critical of the things mother does with child?,Ordered Categorical
6955,f4d2,"If had go away one week without child, would trust mother take care of child?",Ordered Categorical
6956,f4d3,Could you trust anyone else to look after child?,Unordered Categorical
6957,f4d4,"In general, how is relationship with mother?",Unordered Categorical
6958,f4d4a,"In last 2 yrs, participated in program/counseling to improve rel with mother?",Unordered Categorical
6959,f4d5,INT CHK: ARE FATHER AND MOTHER CURRENTLY MARRIED OR ROMANTICALLY INVOLVED?,Unordered Categorical
6985,f4d8,INT CHK: WERE PARENTS ROMANTICALLY INVOLVED AT ANY WAVE BUT NOT NOW?,Unordered Categorical
7008,f4e1,INT CHK: ARE FATHER AND MOTHER LIVING TOGETHER ALL/MOST/SOME OF TIME?,Unordered Categorical
7009,f4e2,Are you currently involved in romantic rel with someone other than mother?,Unordered Categorical
7058,cf4marp,Constructed - Father married to partner other than mother at year five,Unordered Categorical
7059,cf4cohp,Constructed - Father cohabiting with partner other than mother at year five,Unordered Categorical
7060,f4f1,"Not including self, how many people are currently live with you?",Continuous
7061,f4f2b1,Is first person male or female?,Unordered Categorical
7062,f4f2b2,Is second person male or female?,Unordered Categorical
7063,f4f2b3,Is third person male or female?,Unordered Categorical
7064,f4f2b4,Is fourth person male or female?,Unordered Categorical
7071,f4f2c1,What is first person's age? (years),Continuous
7072,f4f2c2,What is second person's age? (years),Continuous
7073,f4f2c3,What is third person's age? (years),Continuous
7074,f4f2c4,What is fourth person's age? (years),Continuous
7081,f4f2d1,What is first person's relationship to you?,Unordered Categorical
7082,f4f2d2,What is second person's relationship to you?,Unordered Categorical
7083,f4f2d3,What is third person's relationship to you?,Unordered Categorical
7084,f4f2d4,What is fourth person's relationship to you?,Unordered Categorical
7092,f4f2e2,"If person is child, is mother the mother of this child?",Unordered Categorical
7093,f4f2e3,"If person is child, is mother the mother of this child?",Unordered Categorical
7101,f4f2f1,Is first person currently working?,Unordered Categorical
7111,cf4adult,Constructed - Number of adults 18 or over in household,Continuous
7112,cf4kids,Constructed - Number of children under 18 in household,Continuous
7113,cf4gdad,Constructed - Grandfather present in household,Unordered Categorical
7114,cf4gmom,Constructed - Grandmother present in household,Unordered Categorical
7115,f4h0,INT CHK: WAS FATHER INTERVIEWED AT ONE OR THREE-YEAR?,Unordered Categorical
